Source;Target;Type;Weight
42428580;31109096;Directed;1
42428580;156573972;Directed;2
42428580;14351248;Directed;1
42428580;314089397;Directed;2
42428580;330930920;Directed;2
42428580;43899055;Directed;3
42428580;34621309;Directed;1
42428580;57601933;Directed;3
42428580;277980462;Directed;3
42428580;133671478;Directed;2
42428580;27954163;Directed;3
42428580;241696095;Directed;3
42428580;8853202;Directed;1
42428580;18915289;Directed;1
42428580;18304428;Directed;2
42428580;5223701;Directed;2
42428580;95033733;Directed;2
42428580;59073534;Directed;2
42428580;29189589;Directed;2
42428580;27867782;Directed;2
42428580;20990789;Directed;2
42428580;451559753;Directed;3
42428580;243207960;Directed;3
42428580;20442734;Directed;1
42428580;334484656;Directed;1
42428580;52678717;Directed;1
42428580;28516371;Directed;1
42428580;11178752;Directed;1
42428580;124586661;Directed;3
42428580;109536626;Directed;3
42428580;52060835;Directed;1
42428580;176785560;Directed;1
42428580;364924774;Directed;2
42428580;137715590;Directed;1
42428580;73126157;Directed;1
42428580;459395285;Directed;2
14223773;32416061;Directed;3
14223773;61502712;Directed;1
14223773;16856080;Directed;1
14223773;20646457;Directed;2
14223773;42428580;Directed;1
14223773;20692623;Directed;1
14223773;63283;Directed;1
14223773;332757341;Directed;2
14223773;20946040;Directed;2
14223773;27694668;Directed;3
14223773;15037028;Directed;3
14223773;1451621;Directed;1
14223773;87000390;Directed;1
14223773;15248126;Directed;2
14223773;19404548;Directed;1
14223773;6471582;Directed;3
14223773;18805582;Directed;3
14223773;26974807;Directed;3
14223773;63723;Directed;2
14223773;15881294;Directed;1
14223773;72862385;Directed;1
14223773;133671478;Directed;1
14223773;27954163;Directed;1
14223773;10459922;Directed;1
14223773;8853202;Directed;3
14223773;5495342;Directed;1
14223773;2216141;Directed;2
14223773;5223701;Directed;2
14223773;20099281;Directed;1
14223773;59073534;Directed;2
14223773;2049521;Directed;2
14223773;241537171;Directed;3
14223773;48848772;Directed;3
14223773;10943;Directed;2
14223773;73126157;Directed;2
14223773;14291506;Directed;3
14223773;85159880;Directed;1
27051056;32416061;Directed;3
27051056;49430094;Directed;2
27051056;16856080;Directed;2
27051056;20059362;Directed;3
27051056;42428580;Directed;3
27051056;25481788;Directed;3
27051056;15037028;Directed;1
27051056;117544658;Directed;1
27051056;15254157;Directed;2
27051056;14066952;Directed;2
27051056;257396357;Directed;2
27051056;8692982;Directed;3
27051056;31109096;Directed;3
27051056;88445970;Directed;2
27051056;27867782;Directed;2
27051056;2049521;Directed;1
27051056;39723677;Directed;3
25481788;61502712;Directed;2
25481788;49430094;Directed;1
25481788;27051056;Directed;1
25481788;320140078;Directed;1
25481788;117544658;Directed;1
25481788;20320607;Directed;1
25481788;14066952;Directed;2
25481788;21641783;Directed;2
25481788;34621309;Directed;3
25481788;133671478;Directed;3
25481788;5223701;Directed;2
25481788;2049521;Directed;3
25481788;17211001;Directed;2
20611257;17647430;Directed;2
20611257;14845783;Directed;2
20611257;193763394;Directed;2
20611257;191004748;Directed;1
20611257;61502712;Directed;1
20611257;17870064;Directed;2
20611257;123516974;Directed;2
20611257;16856080;Directed;3
20611257;94154580;Directed;3
20611257;20646457;Directed;3
20611257;42428580;Directed;1
20611257;14223773;Directed;1
20611257;27051056;Directed;1
20611257;25481788;Directed;2
20611257;45535193;Directed;1
20611257;27008946;Directed;1
20611257;46063659;Directed;1
20611257;63283;Directed;2
20611257;53017241;Directed;3
20611257;570803272;Directed;3
20611257;279929259;Directed;1
20611257;16167356;Directed;2
20611257;48713350;Directed;1
20611257;36726994;Directed;1
20611257;320140078;Directed;1
20611257;14002442;Directed;2
20611257;27694668;Directed;2
20611257;117544658;Directed;3
20611257;29495262;Directed;1
20611257;14066952;Directed;1
20611257;66299444;Directed;1
20611257;87000390;Directed;1
20611257;221311019;Directed;2
20611257;15248126;Directed;2
20611257;249867294;Directed;2
20611257;119361818;Directed;3
20611257;14393888;Directed;1
20611257;18805582;Directed;1
20611257;8692982;Directed;1
20611257;90841202;Directed;1
20611257;235090590;Directed;1
20611257;617713;Directed;1
20611257;174194582;Directed;2
20611257;204505574;Directed;3
20611257;23404344;Directed;1
20611257;203436627;Directed;1
20611257;24722855;Directed;3
20611257;27954163;Directed;1
20611257;241696095;Directed;3
20611257;20455375;Directed;3
20611257;191141576;Directed;2
20611257;18915289;Directed;1
20611257;18304428;Directed;1
20611257;5223701;Directed;1
20611257;21025876;Directed;3
20611257;88445970;Directed;2
20611257;59073534;Directed;2
20611257;93398485;Directed;2
20611257;175332273;Directed;1
20611257;27867782;Directed;1
20611257;15138496;Directed;1
20611257;17405847;Directed;2
20611257;2049521;Directed;2
20611257;274558481;Directed;2
20611257;17211001;Directed;1
20611257;94347411;Directed;1
20611257;14352473;Directed;1
20611257;197511967;Directed;1
20611257;130093812;Directed;3
20611257;87260342;Directed;3
20611257;15332092;Directed;2
20611257;72526200;Directed;1
20611257;17211958;Directed;1
20611257;254922743;Directed;2
20611257;106364085;Directed;1
45535193;191004748;Directed;1
45535193;61502712;Directed;1
45535193;2230301;Directed;3
45535193;16856080;Directed;2
45535193;20646457;Directed;1
45535193;15203929;Directed;1
45535193;36726994;Directed;1
45535193;15254157;Directed;1
45535193;14066952;Directed;2
45535193;257396357;Directed;2
45535193;242009819;Directed;3
45535193;34621309;Directed;3
45535193;133671478;Directed;2
45535193;214692112;Directed;1
45535193;21025876;Directed;2
45535193;245881375;Directed;1
45535193;2049521;Directed;2
27694668;133671478;Directed;1
43677126;61502712;Directed;1
43677126;14002442;Directed;3
43677126;93742094;Directed;3
43677126;249867294;Directed;3
43677126;26974807;Directed;1
43677126;520694018;Directed;2
43677126;21025876;Directed;2
43677126;77075281;Directed;1
15037028;14845783;Directed;2
15037028;61502712;Directed;3
15037028;16856080;Directed;1
15037028;109562464;Directed;1
15037028;42428580;Directed;1
15037028;257396357;Directed;2
15037028;67546984;Directed;2
15037028;18805582;Directed;3
15037028;617713;Directed;3
15037028;4308031;Directed;3
15037028;174194582;Directed;1
15037028;31109096;Directed;1
15037028;79809148;Directed;1
15037028;35034509;Directed;1
15037028;17150632;Directed;1
15037028;57601933;Directed;1
15037028;133671478;Directed;2
15037028;2216141;Directed;3
15037028;22279374;Directed;3
15037028;88445970;Directed;3
15037028;59073534;Directed;2
15037028;19389413;Directed;1
15037028;243207960;Directed;2
15037028;20442734;Directed;3
15037028;73126157;Directed;2
117544658;32416061;Directed;1
117544658;14845783;Directed;2
117544658;17870064;Directed;2
117544658;25481788;Directed;1
117544658;15254157;Directed;1
117544658;249867294;Directed;1
117544658;236111927;Directed;2
117544658;31109096;Directed;2
117544658;241696095;Directed;2
93742094;32416061;Directed;2
93742094;193763394;Directed;3
93742094;61502712;Directed;2
93742094;49430094;Directed;2
93742094;27008946;Directed;1
93742094;43677126;Directed;2
93742094;221311019;Directed;3
93742094;257396357;Directed;3
93742094;249867294;Directed;3
93742094;18504179;Directed;2
93742094;18805582;Directed;1
93742094;264609534;Directed;1
93742094;174194582;Directed;2
93742094;295645137;Directed;1
93742094;327267975;Directed;1
93742094;737078424;Directed;2
93742094;34621309;Directed;1
93742094;133671478;Directed;3
93742094;241696095;Directed;3
93742094;214692112;Directed;2
93742094;249601180;Directed;3
93742094;94867275;Directed;2
93742094;29189589;Directed;2
93742094;8157952;Directed;1
93742094;94347411;Directed;3
93742094;87260342;Directed;1
93742094;72526200;Directed;1
93742094;7916832;Directed;1
93742094;771391687;Directed;3
93742094;54834307;Directed;2
93742094;15620178;Directed;1
93742094;56081519;Directed;1
93742094;392683039;Directed;2
20320607;32416061;Directed;1
20320607;550180187;Directed;2
20320607;14845783;Directed;1
20320607;49430094;Directed;1
20320607;17870064;Directed;2
20320607;42428580;Directed;1
20320607;25481788;Directed;1
20320607;46063659;Directed;2
20320607;41554259;Directed;3
20320607;20946040;Directed;3
20320607;15037028;Directed;1
20320607;15254157;Directed;1
20320607;1451621;Directed;2
20320607;87000390;Directed;1
20320607;15248126;Directed;1
20320607;18805582;Directed;2
20320607;31109096;Directed;3
20320607;23404344;Directed;3
20320607;27954163;Directed;1
20320607;18915289;Directed;2
20320607;5223701;Directed;1
20320607;29189589;Directed;1
20320607;2049521;Directed;2
20320607;17211001;Directed;2
20320607;48848772;Directed;1
20320607;19389413;Directed;1
20320607;16612616;Directed;1
20320607;39638557;Directed;2
20320607;16464699;Directed;2
20320607;15658988;Directed;1
20320607;14377632;Directed;1
19978588;42428580;Directed;1
19978588;18673689;Directed;2
19978588;320140078;Directed;3
19978588;14066952;Directed;3
19978588;257396357;Directed;3
19978588;15248126;Directed;2
19978588;204505574;Directed;1
19978588;133671478;Directed;2
19978588;214692112;Directed;1
19978588;191141576;Directed;2
19978588;29189589;Directed;1
19978588;27867782;Directed;1
19978588;2049521;Directed;1
19978588;17211001;Directed;2
349126521;199663247;Directed;3
349126521;15203929;Directed;2
349126521;20946040;Directed;1
349126521;249637750;Directed;1
349126521;529155080;Directed;1
349126521;520427798;Directed;2
349126521;227291378;Directed;3
349126521;135154291;Directed;3
349126521;137299537;Directed;3
349126521;312520229;Directed;2
349126521;1252423189;Directed;1
349126521;241696095;Directed;3
349126521;122174133;Directed;3
349126521;304958060;Directed;1
349126521;293524806;Directed;1
349126521;72288115;Directed;3
349126521;39588381;Directed;2
349126521;1431451698;Directed;3
349126521;798821984;Directed;2
349126521;18899802;Directed;1
349126521;50152850;Directed;1
15254157;32416061;Directed;1
15254157;28110685;Directed;1
15254157;14845783;Directed;2
15254157;63293;Directed;3
15254157;191004748;Directed;1
15254157;61502712;Directed;1
15254157;49430094;Directed;1
15254157;16856080;Directed;2
15254157;20059362;Directed;1
15254157;20646457;Directed;1
15254157;109562464;Directed;1
15254157;42428580;Directed;2
15254157;27051056;Directed;2
15254157;53017241;Directed;1
15254157;570803272;Directed;2
15254157;279929259;Directed;1
15254157;119522971;Directed;3
15254157;320140078;Directed;1
15254157;14002442;Directed;1
15254157;15037028;Directed;1
15254157;117544658;Directed;1
15254157;20320607;Directed;3
15254157;16440349;Directed;1
15254157;14066952;Directed;1
15254157;66299444;Directed;1
15254157;87000390;Directed;1
15254157;221311019;Directed;1
15254157;249121666;Directed;1
15254157;257396357;Directed;2
15254157;15248126;Directed;2
15254157;249867294;Directed;2
15254157;119361818;Directed;3
15254157;14076784;Directed;3
15254157;136242086;Directed;2
15254157;95713774;Directed;1
15254157;81117720;Directed;1
15254157;49077590;Directed;2
15254157;8692982;Directed;1
15254157;236111927;Directed;1
15254157;664353;Directed;2
15254157;33452745;Directed;2
15254157;128251960;Directed;3
15254157;31109096;Directed;3
15254157;242009819;Directed;2
15254157;21641783;Directed;1
15254157;295645137;Directed;1
15254157;7065962;Directed;1
15254157;34881762;Directed;1
15254157;327267975;Directed;1
15254157;133671478;Directed;2
15254157;8157942;Directed;3
15254157;27954163;Directed;3
15254157;214692112;Directed;1
15254157;2216141;Directed;1
15254157;191141576;Directed;2
15254157;21025876;Directed;3
15254157;29189589;Directed;3
15254157;175332273;Directed;1
15254157;27867782;Directed;1
15254157;17405847;Directed;1
15254157;2049521;Directed;1
15254157;72288115;Directed;1
15254157;16629055;Directed;1
15254157;130962517;Directed;3
15254157;48848772;Directed;3
15254157;94347411;Directed;1
15254157;82399074;Directed;3
15254157;73126157;Directed;2
15254157;55603;Directed;2
1451621;49430094;Directed;3
1451621;14223773;Directed;1
1451621;27008946;Directed;1
1451621;27608532;Directed;1
1451621;87000390;Directed;1
1451621;15248126;Directed;1
1451621;369052765;Directed;3
1451621;330930920;Directed;3
1451621;27954163;Directed;3
1451621;494889695;Directed;1
1451621;369656581;Directed;2
1451621;54516516;Directed;3
1451621;76681219;Directed;2
1451621;573585707;Directed;2
1451621;18915289;Directed;2
1451621;20099281;Directed;2
1451621;59073534;Directed;1
1451621;14352473;Directed;2
1451621;77075281;Directed;2
1451621;232678300;Directed;1
1451621;267671446;Directed;1
1451621;33918457;Directed;3
1451621;181722427;Directed;3
1451621;263821600;Directed;3
1451621;303457058;Directed;1
1451621;474526346;Directed;1
28303997;27608532;Directed;3
28303997;16167356;Directed;3
28303997;66299444;Directed;1
28303997;28303391;Directed;1
28303997;249867294;Directed;2
28303997;26974807;Directed;1
28303997;214692112;Directed;1
28303997;27867782;Directed;1
28303997;2049521;Directed;2
28303997;33178393;Directed;2
28303997;14667708;Directed;1
29495262;32416061;Directed;2
29495262;16856080;Directed;1
29495262;20611257;Directed;1
29495262;20692623;Directed;1
29495262;27608532;Directed;2
29495262;16167356;Directed;2
29495262;221311019;Directed;1
29495262;119361818;Directed;1
29495262;67546984;Directed;1
29495262;26974807;Directed;1
29495262;14351248;Directed;1
29495262;214692112;Directed;2
29495262;175332273;Directed;3
29495262;94347411;Directed;2
16440349;17647430;Directed;1
16440349;14845783;Directed;1
16440349;570803272;Directed;2
16440349;17673017;Directed;1
16440349;36726994;Directed;2
16440349;320140078;Directed;1
16440349;15254157;Directed;1
16440349;15248126;Directed;2
16440349;26974807;Directed;2
16440349;236111927;Directed;3
16440349;46393157;Directed;3
16440349;76470117;Directed;3
16440349;153422889;Directed;2
16440349;27954163;Directed;3
16440349;95033733;Directed;1
16440349;28516371;Directed;1
16440349;37942571;Directed;2
16440349;403985688;Directed;3
269321619;17647430;Directed;1
269321619;61502712;Directed;1
269321619;236902913;Directed;1
269321619;320140078;Directed;1
269321619;249121666;Directed;1
269321619;257396357;Directed;2
269321619;249867294;Directed;1
269321619;249637750;Directed;2
269321619;15881294;Directed;2
269321619;327267975;Directed;2
269321619;34621309;Directed;2
269321619;133671478;Directed;3
269321619;27954163;Directed;3
269321619;241696095;Directed;1
269321619;41398473;Directed;2
269321619;36033715;Directed;3
269321619;596346749;Directed;1
96118569;14845783;Directed;2
96118569;61502712;Directed;1
96118569;279929259;Directed;1
96118569;249867294;Directed;1
96118569;203436627;Directed;2
96118569;120017080;Directed;3
14066952;14845783;Directed;3
14066952;61502712;Directed;1
14066952;16856080;Directed;3
14066952;20646457;Directed;3
14066952;25481788;Directed;1
14066952;20611257;Directed;2
14066952;45535193;Directed;1
14066952;19978588;Directed;1
14066952;15254157;Directed;1
14066952;66299444;Directed;2
14066952;221311019;Directed;1
14066952;249867294;Directed;1
14066952;119361818;Directed;2
14066952;295645137;Directed;3
14066952;203436627;Directed;3
14066952;34881762;Directed;2
14066952;330930920;Directed;1
14066952;27954163;Directed;3
14066952;241696095;Directed;2
14066952;191141576;Directed;2
14066952;21025876;Directed;1
14066952;27867782;Directed;1
14066952;94347411;Directed;2
14066952;28516371;Directed;1
14066952;55603;Directed;1
14066952;33279601;Directed;1
66299444;32416061;Directed;2
66299444;15037028;Directed;1
66299444;15254157;Directed;2
66299444;14066952;Directed;1
66299444;249867294;Directed;1
66299444;133671478;Directed;3
66299444;27954163;Directed;2
66299444;21025876;Directed;1
66299444;17807156;Directed;3
66299444;70944163;Directed;1
66299444;76112152;Directed;3
66299444;55603;Directed;3
66299444;24857113;Directed;2
66299444;33170758;Directed;1
273912398;32416061;Directed;1
273912398;61502712;Directed;1
273912398;43899055;Directed;3
273912398;17128025;Directed;2
273912398;5804752;Directed;3
273912398;25657719;Directed;2
273912398;17405847;Directed;1
273912398;116523372;Directed;2
1441291;17647430;Directed;2
1441291;14845783;Directed;3
1441291;49430094;Directed;3
1441291;16856080;Directed;3
1441291;20692623;Directed;1
1441291;63283;Directed;1
1441291;27694668;Directed;2
1441291;87000390;Directed;2
1441291;257396357;Directed;2
1441291;15248126;Directed;2
1441291;49077590;Directed;1
1441291;100529876;Directed;2
1441291;26974807;Directed;3
1441291;8692982;Directed;3
1441291;13250242;Directed;1
1441291;476990448;Directed;1
1441291;330930920;Directed;2
1441291;8157942;Directed;2
1441291;27954163;Directed;2
1441291;17128025;Directed;2
1441291;247013838;Directed;2
1441291;331475231;Directed;1
1441291;191141576;Directed;1
1441291;21025876;Directed;3
1441291;15138496;Directed;1
1441291;17405847;Directed;1
1441291;2049521;Directed;1
1441291;48848772;Directed;1
1441291;39723677;Directed;3
1441291;116523372;Directed;1
1441291;14352473;Directed;2
1441291;43918390;Directed;1
1441291;2801571;Directed;1
1441291;11221722;Directed;3
28303391;32416061;Directed;1
28303391;14845783;Directed;1
28303391;109562464;Directed;2
28303391;27008946;Directed;3
28303391;53017241;Directed;3
28303391;27608532;Directed;1
28303391;28303997;Directed;2
28303391;29495262;Directed;1
28303391;87000390;Directed;1
28303391;221311019;Directed;1
28303391;120389940;Directed;1
28303391;49077590;Directed;2
28303391;6471582;Directed;2
28303391;46393157;Directed;3
28303391;17128025;Directed;3
28303391;241696095;Directed;1
28303391;8157952;Directed;2
28303391;20442734;Directed;1
28303391;109536626;Directed;1
28303391;20733442;Directed;3
28303391;121476812;Directed;1
28303391;99101734;Directed;1
87000390;32416061;Directed;2
87000390;28110685;Directed;2
87000390;14845783;Directed;3
87000390;61502712;Directed;2
87000390;123516974;Directed;1
87000390;10161492;Directed;1
87000390;94154580;Directed;2
87000390;20646457;Directed;1
87000390;42428580;Directed;1
87000390;14223773;Directed;1
87000390;20692623;Directed;1
87000390;17673017;Directed;3
87000390;236902913;Directed;3
87000390;20320607;Directed;2
87000390;269321619;Directed;1
87000390;257396357;Directed;1
87000390;249867294;Directed;1
87000390;120389940;Directed;1
87000390;100529876;Directed;2
87000390;235090590;Directed;3
87000390;31109096;Directed;3
87000390;256179421;Directed;3
87000390;21641783;Directed;2
87000390;46393157;Directed;1
87000390;33267283;Directed;1
87000390;59118576;Directed;1
87000390;1252423189;Directed;2
87000390;330930920;Directed;2
87000390;34621309;Directed;2
87000390;133671478;Directed;3
87000390;8157942;Directed;2
87000390;27954163;Directed;3
87000390;10459922;Directed;1
87000390;241696095;Directed;2
87000390;249601180;Directed;1
87000390;191141576;Directed;1
87000390;5223701;Directed;3
87000390;88445970;Directed;1
87000390;59073534;Directed;1
87000390;72288115;Directed;1
87000390;33174720;Directed;2
87000390;82399074;Directed;2
87000390;52678717;Directed;2
87000390;282199322;Directed;1
87000390;596346749;Directed;3
87000390;415008577;Directed;1
221311019;61502712;Directed;3
221311019;15203929;Directed;2
221311019;20692623;Directed;1
221311019;48713350;Directed;1
221311019;93742094;Directed;2
221311019;15254157;Directed;3
221311019;29495262;Directed;3
221311019;257396357;Directed;2
221311019;249867294;Directed;1
221311019;23424743;Directed;2
221311019;49077590;Directed;1
221311019;249637750;Directed;1
221311019;90841202;Directed;1
221311019;664353;Directed;2
221311019;295645137;Directed;2
221311019;17150632;Directed;3
221311019;330930920;Directed;3
221311019;27954163;Directed;1
221311019;17128025;Directed;1
221311019;241696095;Directed;2
221311019;5223701;Directed;2
221311019;14001032;Directed;3
221311019;17211001;Directed;1
221311019;94347411;Directed;1
221311019;87260342;Directed;1
221311019;113393772;Directed;2
221311019;36033715;Directed;2
221311019;128190490;Directed;1
221311019;189148357;Directed;1
249121666;191004748;Directed;3
249121666;61502712;Directed;3
249121666;53017241;Directed;2
249121666;269321619;Directed;1
249121666;257396357;Directed;1
249121666;249867294;Directed;1
249121666;394716520;Directed;2
249121666;4308031;Directed;3
249121666;17672932;Directed;3
249121666;295645137;Directed;3
249121666;404016558;Directed;3
249121666;239404368;Directed;2
249121666;1172328414;Directed;1
249121666;133671478;Directed;2
249121666;241696095;Directed;3
249121666;304958060;Directed;1
249121666;29189589;Directed;1
249121666;147558045;Directed;1
257396357;17647430;Directed;1
257396357;14845783;Directed;3
